name,hex,r,g,b
Fandango,#B53389,0.71,0.2,0.54
Fandango pink,#DE5285,0.87,0.32,0.52
Fawn,#E5AA70,0.9,0.67,0.44
Fern green,#4F7942,0.31,0.47,0.26
Field drab,#6C541E,0.42,0.33,0.12
Fiery rose,#FF5470,1.0,0.33,0.44
Finn,#683068,0.41,0.19,0.41
Firebrick,#B22222,0.7,0.13,0.13
Fire engine red,#CE2029,0.81,0.13,0.16
Flame,#E25822,0.89,0.35,0.13
Flax,#EEDC82,0.93,0.86,0.51
Flirt,#A2006D,0.64,0.0,0.43
Floral white,#FFFAF0,1.0,0.98,0.94
Forest green (web),#228B22,0.13,0.55,0.13
French beige,#A67B5B,0.65,0.48,0.36
French bistre,#856D4D,0.52,0.43,0.3
French blue,#0072BB,0.0,0.45,0.73
French fuchsia,#FD3F92,0.99,0.25,0.57
French lilac,#86608E,0.53,0.38,0.56
French lime,#9EFD38,0.62,0.99,0.22
French mauve,#D473D4,0.83,0.45,0.83
French pink,#FD6C9E,0.99,0.42,0.62
French raspberry,#C72C48,0.78,0.17,0.28
French sky blue,#77B5FE,0.47,0.71,1.0
French violet,#8806CE,0.53,0.02,0.81
Frostbite,#E936A7,0.91,0.21,0.65
Fuchsia,#FF00FF,1.0,0.0,1.0
Fuchsia (Crayola),#C154C1,0.76,0.33,0.76
Fulvous,#E48400,0.89,0.52,0.0
Fuzzy Wuzzy,#87421F,0.53,0.26,0.12
Gainsboro,#DCDCDC,0.86,0.86,0.86
Gamboge,#E49B0F,0.89,0.61,0.06
Generic viridian,#007F66,0.0,0.5,0.4
Ghost white,#F8F8FF,0.97,0.97,1.0
Glaucous,#6082B6,0.38,0.51,0.71
Glossy grape,#AB92B3,0.67,0.57,0.7
GO green,#00AB66,0.0,0.67,0.4
Gold,#A57C00,0.65,0.49,0.0
Gold (metallic),#D4AF37,0.83,0.69,0.22
Gold (web) (Golden),#FFD700,1.0,0.84,0.0
Gold (Crayola),#E6BE8A,0.9,0.75,0.54
Gold Fusion,#85754E,0.52,0.46,0.31
Golden brown,#996515,0.6,0.4,0.08
Golden poppy,#FCC200,0.99,0.76,0.0
Golden yellow,#FFDF00,1.0,0.87,0.0
Goldenrod,#DAA520,0.85,0.65,0.13
Gotham green,#00573F,0.0,0.34,0.25
Granite gray,#676767,0.4,0.4,0.4
Granny Smith apple,#A8E4A0,0.66,0.89,0.63
Gray (web),#808080,0.5,0.5,0.5
Gray (X11 gray),#BEBEBE,0.75,0.75,0.75
Green,#00FF00,0.0,1.0,0.0
Green (Crayola),#1CAC78,0.11,0.67,0.47
Green (web),#008000,0.0,0.5,0.0
Green (Munsell),#00A877,0.0,0.66,0.47
Green (NCS),#009F6B,0.0,0.62,0.42
Green (Pantone),#00AD43,0.0,0.68,0.26
Green (pigment),#00A550,0.0,0.65,0.31
Green (RYB),#66B032,0.4,0.69,0.2
Green-blue,#1164B4,0.07,0.39,0.71
Green-blue (Crayola),#2887C8,0.16,0.53,0.78
Green-cyan,#009966,0.0,0.6,0.4
Green Lizard,#A7F432,0.65,0.96,0.2
Green Sheen,#6EAEA1,0.43,0.68,0.63
Green-yellow,#ADFF2F,0.68,1.0,0.18
Green-yellow (Crayola),#F0E891,0.94,0.91,0.57
Grenadier,#D34600,0.83,0.27,0.0
Grullo,#A99A86,0.66,0.6,0.53
Gunmetal,#2a3439,0.16,0.2,0.22
Han blue,#446CCF,0.27,0.42,0.81
Han purple,#5218FA,0.32,0.09,0.98
Hansa yellow,#E9D66B,0.91,0.84,0.42
Harlequin,#3FFF00,0.25,1.0,0.0
Harvest gold,#DA9100,0.85,0.57,0.0
Heat Wave,#FF7A00,1.0,0.48,0.0
Heliotrope,#DF73FF,0.87,0.45,1.0
Heliotrope gray,#AA98A9,0.67,0.6,0.66
Hollywood cerise,#F400A1,0.96,0.0,0.63
Honeydew,#F0FFF0,0.94,1.0,0.94
Honolulu blue,#006DB0,0.0,0.43,0.69
Hooker's green,#49796B,0.29,0.47,0.42
Hot magenta,#FF1DCE,1.0,0.11,0.81
Hot pink,#FF69B4,1.0,0.41,0.71
Hunter green,#355E3B,0.21,0.37,0.23
Iceberg,#71A6D2,0.44,0.65,0.82
Icterine,#FCF75E,0.99,0.97,0.37
Illuminating emerald,#319177,0.19,0.57,0.47
Imperial red,#ED2939,0.93,0.16,0.22
Inchworm,#B2EC5D,0.7,0.93,0.36
